Clearness,GHI,Vw,Iw,Ve,Ie,Clearness_F,GHI_F
0.45,350.77,15.52,0.06,11.24,0.02,0.64,305.79
0.41,357.48,16.00,0.08,11.32,0.04,0.62,286.03
0.55,356.49,16.19,0.09,11.13,0.04,0.65,298.85
0.55,363.52,16.34,0.09,11.46,0.04,0.59,315.53
0.6,347.38,15.48,0.06,11.19,0.03,0.64,315.47
0.61,354.05,15.96,0.05,11.34,0.02,0.60,312.27
0.54,369.4,16.47,0.09,11.85,0.04,0.57,307.48
0.46,373.51,16.81,0.06,11.85,0.03,0.55,296.43
0.4,368.86,16.65,0.08,11.91,0.03,0.55,305.67
0.55,331.86,15.12,0.08,10.68,0.03,0.52,308.41
0.66,329.7,15.00,0.08,10.68,0.03,0.53,300.18
0.52,356.24,16.27,0.07,11.17,0.03,0.59,294.03
0.55,360.29,16.45,0.05,11.55,0.02,0.63,301.73
0.65,330.16,14.75,0.06,10.32,0.02,0.63,291.66
0.67,324.56,14.41,0.05,10.25,0.04,0.64,301.79
0.59,341.34,15.39,0.08,10.81,0.04,0.63,309.81
0.59,349.17,15.61,0.06,11.22,0.03,0.61,306.88
0.6,355.92,15.94,0.07,11.17,0.02,0.66,315.67
0.48,369.62,16.74,0.07,11.77,0.03,0.56,319.91
0.48,370.4,16.80,0.08,11.94,0.02,0.56,315.45
0.53,360.99,16.35,0.05,11.44,0.03,0.68,307.53
0.57,373.37,16.69,0.06,11.65,0.02,0.67,303.86
0.58,371.72,16.50,0.08,11.65,0.03,0.68,314.39
0.52,385.86,17.60,0.05,12.40,0.04,0.67,324.62
0.58,381.59,17.33,0.09,12.26,0.04,0.66,324.87
0.59,371.41,16.74,0.05,11.76,0.03,0.62,330.80
0.55,377.04,16.97,0.09,11.79,0.02,0.60,327.99
0.55,375.84,17.04,0.07,11.98,0.03,0.58,323.24
0.58,376.16,17.05,0.09,12.09,0.02,0.62,331.34
0.64,377.05,16.92,0.08,11.76,0.03,0.69,335.18
0.65,370.67,16.72,0.07,11.59,0.03,0.71,334.78
0.56,393.23,17.84,0.05,12.42,0.04,0.69,327.70
0.58,394.05,17.53,0.08,12.44,0.03,0.70,316.73
0.72,348.41,15.71,0.07,11.17,0.03,0.70,328.16
